Size 327 
-8.1922735e-08 1.6152626e-08 2.1245855e-06
 1.6021497e-06 3.1502452e-06 2.9936089e-06
 1.5733846e-06 6.3692737e-07 0.0000000e+00
-1.7176858e-07-9.0825727e-09 9.7205195e-08
-9.9353471e-08-2.1346093e-07 8.8324390e-08
 7.1127384e-08 4.0340308e-08 5.2222760e-08
 3.1324534e-08 2.7202531e-08 3.7248555e-08
 4.5145693e-08 1.4760701e-08-2.4860595e-09
 1.1496307e-08 2.6012873e-09-2.1650986e-08
-7.8363031e-09 3.5313276e-07 7.1392523e-07
 1.0693411e-06 1.4168640e-06 1.7520343e-06
 2.0676310e-06 2.3540849e-06 2.5999622e-06
 2.7952065e-06 2.9330371e-06 3.0106863e-06
 3.0301888e-06 2.9976072e-06 2.9221285e-06
 2.8141505e-06 2.6840946e-06 2.5420833e-06
 2.3973136e-06 2.2572968e-06 2.1241113e-06
 2.1193272e-06 2.1040607e-06 2.0754366e-06
 2.0338588e-06 1.9822297e-06 1.9247661e-06
 1.8661996e-06 1.8103046e-06 1.7595033e-06
 1.7165107e-06 1.6817186e-06 1.6547551e-06
 1.6347243e-06 1.6205815e-06 1.6112249e-06
 1.6056968e-06 1.6030663e-06 1.6022850e-06
 1.8610519e-06 2.1190974e-06 2.3764010e-06
 2.6334828e-06 2.8914285e-06 3.1499257e-06
 3.1492284e-06 3.1467387e-06 3.1419446e-06
 3.1322630e-06 3.1185500e-06 3.0976010e-06
 3.0719047e-06 3.0384174e-06 1.6770354e-06
 1.8160563e-06 1.9932949e-06 2.1936411e-06
 2.4074641e-06 2.6181731e-06 2.7993719e-06
 2.9419657e-06 3.0181208e-06 3.0568683e-06
 3.0290474e-06 3.0012241e-06 2.9685705e-06
 2.9528105e-06 2.9579957e-06 1.4813445e-06
 1.3580521e-06 1.2100580e-06 1.0501610e-06
 8.9863015e-07 7.7512197e-07 6.9131361e-07
 6.4871052e-07 6.3715792e-07 5.5141351e-07
 4.5081058e-07 3.3076521e-07 1.9419880e-07
 3.6468581e-08 2.8294038e-06 3.5266698e-07
 2.1867298e-06 2.0022366e-06 2.0986134e-06
 3.0648684e-06 2.0987444e-06 3.4691795e-07
 2.9531003e-06 1.1357972e-06 2.7626347e-06
 2.9424524e-06 8.4928771e-07 2.7953362e-08
 1.9343014e-06 1.4389431e-06 2.9973126e-06
 2.8289803e-06 3.0836803e-06 2.6499738e-06
 3.1773705e-07 3.5099897e-07 1.9884049e-06
 7.1865458e-07 3.1588302e-07 1.8937131e-06
 5.9428076e-07 2.7390075e-06 4.4184948e-07
 2.5480608e-06 2.2366936e-06 2.3991013e-06
 2.4103393e-06 2.8292897e-06 2.6008833e-06
 1.8769189e-06 9.9846769e-08 3.1712004e-07
 1.8244213e-07 1.0609491e-06 1.9085978e-06
 1.9197944e-06 4.2092644e-07 2.8467735e-06
 2.9815202e-06 2.0192290e-06 3.0249292e-06
 2.1280899e-06 1.4280132e-06 3.5988388e-07
 3.5741878e-07 2.2502172e-06 2.2561758e-06
 2.3121267e-07 2.8133087e-06 1.9454692e-06
 6.5558354e-07 2.7406237e-06 2.5000078e-06
 2.7663598e-06 2.8620260e-06 5.5083965e-07
 3.1282145e-08 2.7834262e-06 2.8004762e-06
 3.0526138e-06 2.7061429e-06 3.0131883e-06
 2.5144521e-06 2.3273939e-06 3.0351664e-06
 2.9289012e-06 2.1810750e-06 2.5142230e-06
 6.4587420e-07 7.1937051e-07 2.2200269e-06
 4.8113182e-07 4.8774659e-07 1.7652098e-06
 4.3571362e-07 1.2941523e-06 2.2520094e-06
 2.8913855e-06 2.4657456e-06 1.1355724e-06
